Mesh ID,Generic name,Common name,Synonyms,Tree
D000006,"Abdomen, Acute","Abdomen, Acute","Abdomen, Acute|Acute Abdomen|Acute Abdomens|Abdomens, Acute",C23.888.821.030.249|C23.888.592.612.054.200
D000007,Abdominal Injuries,Abdominal Injuries,"Abdominal Injury|Injury, Abdominal|Injuries, Abdominal|Abdominal Injuries",C26.017
D000008,Abdominal Neoplasms,Abdominal Neoplasms,"Neoplasm, Abdominal|Neoplasms, Abdominal|Abdominal Neoplasms|Abdominal Neoplasm",C04.588.033
D000012,Abetalipoproteinemia,Abetalipoproteinemia,"Disease, Betalipoprotein Deficiency|Diseases, Betalipoprotein Deficiency|Abetalipoproteinemia|Bassen Kornzweig Syndrome|Bassen-Kornzweig Disease|Acanthocytosis|Microsomal Triglyceride Transfer Protein Deficiency Disease|Deficiency Disease, Betalipoprotein|Betalipoprotein Deficiency Disease|Microsomal Triglyceride Transfer Protein Deficiency|Betalipoprotein Deficiency Diseases|Deficiency Diseases, Betalipoprotein|Acanthocytoses|Bassen Kornzweig Disease|Bassen-Kornzweig Syndrome",C16.320.565.398.500.440.500|C18.452.648.398.500.440.500|C18.452.584.500.875.440.500|C18.452.584.563.500.440.500
D000014,Congenital Abnormalities,Congenital Abnormalities,"Anomaly, Fetal|Defects, Congenital|Abnormalities, Congenital|Abnormality, Congenital|Fetal Anomaly|Defect, Congenital|Congenital Abnormality|Congenital Defect|Fetal Malformation|Deformities|Defect, Birth|Fetal Malformations|Fetal Anomalies|Malformation, Fetal|Birth Defects|Deformity|Congenital Defects|Birth Defect|Congenital Abnormalities",C16.131
D064793,"Abnormalities, Drug-Induced","Abnormalities, Drug-Induced","Abnormality, Drug-Induced|Abnormalities, Drug-Induced|Drug Induced Abnormalities|Drug-Induced Abnormality|Abnormalities, Drug Induced|Drug-Induced Abnormalities",C16.131.042
D008607,"Abnormalities, Multiple","Abnormalities, Multiple","Multiple Abnormalities|Abnormalities, Multiple",C16.131.077
D020964,"Abortion, Habitual","Abortion, Habitual","Abortion, Habitual|Habitual Abortions|Recurrent Early Pregnancy Loss|Recurrent Abortions|Recurrent Miscarriage|Recurrent Miscarriages|Habitual Abortion|Recurrent Abortion|Abortion, Recurrent|Miscarriage, Recurrent",C12.050.703.039.089
D000027,"Abortion, Incomplete","Abortion, Incomplete","Miscarriage, Missed|Missed Miscarriage|Incomplete Abortion|Missed Miscarriages|Miscarriages, Missed|Abortion, Incomplete|Abortions, Incomplete|Incomplete Abortions",C12.050.703.039.093
D000030,"Abortion, Missed","Abortion, Missed","Abortion, Missed|Abortions, Missed|Missed Abortions|Missed Abortion",C12.050.703.039.173
D000031,"Abortion, Septic","Abortion, Septic","Septic Abortions|Abortions, Septic|Septic Abortion|Abortion, Septic",C01.674.173|C12.050.703.039.256|C12.050.703.700.173
D000033,"Abortion, Threatened","Abortion, Threatened","Abortion, Threatened|Threatened Miscarriage|Threatened Miscarriages|Threatened Abortions|Miscarriage, Threatened|Threatened Abortion",C12.050.703.090
D000034,"Abortion, Veterinary","Abortion, Veterinary","Veterinary Abortions|Veterinary Abortion|Abortion, Veterinary|Abortions, Veterinary",C22.021|C12.050.703.039.422
